Ref,Qnty,Value,Footprint,Mouser No.,Farnell No.,Other
"C1, C7, C12, C13, C15, C19, ",6,0.1u,0402,81-GRM155R71H104KE4D,,X7R 10%
"C2, C3, C5, C11, ",4,4.7u,0603,81-GRM188Z71C475KE1D,,X7R 10v 10%
"C4, C10, ",2,0.1u,0603,963-TMK107BJ104KA-T,,X5R
"C6, ",1,22u,0603,81-GRM187R61A226ME5D,,X5R 10v 10%
"C8, ",1,2.2u,0402,963-TMK105CBJ225KV-F,,
"C9, ",1,10n,0402,80-C0402C103K4P,,
"C14, ",1,100p,0402,810-CGA2B2C0G2A101J0,,NP0
"C16, C21, ",2,1.0u,0603,810-C1608X7R1C105K,,X7R
"C17, ",1,820p,0402,81-GCM1555C1H821JA6D,,NP0
"C18, ",1,47n,0402,81-GRM155R71H473KE4D,,X7R
"C20, ",1,2.0p,0402,609-500R07S2R0BV4T,,
"C22, C23, C25, C26, ",4,12p,0402,81-GJM1555C1H120GB01,,NP0 2%
"C24, ",1,0.8p,0402,81-GJM1555C1HR80WB1D,,NP0 10%
"D1, ",1,SMAJ40CAe3,SMA,494-SMAJ40CAE3/TR13,,
"D2, ",1,BAT60BE6327HTSA1,SOD-323,726-BAT60BE6327HTSA1,,
"D3, D4, ",2,1N4448WT,SOD-523F,512-1N4448WT,,
"F1, F2, ",2,375mA,0603,652-SF-0603FP0375F-2,,
"L1, ",1,10u,0603,963-LBMF1608T100K,,
"L2, ",1,15n,0402,81-LQG15HS15NJ02D,,High frequency chip inductor ±10 
"L3, ",1,1.5n,0402,609-L-07C1N5SV6T,,
"L4, ",1,3.3n,0402,609-L-07C3N3SV6T,,
"L5, ",1,4.7n,0402,81-LQG15HS4N7C02D,,High frequency chip inductor ±5 %
"Q1, Q2, Q4, ",3,BC846B,SOT-23,621-BC846B-7-F,,
"Q3, ",1,DMG2301L-7,SOT-23,621-DMG2301L-7,,
"R1, R2, ",2,620R,0402,667-ERJ-2RKF6200X,,
"R3, R4, ",2,36R,0402,667-ERJ-2RKF36R0X,,
"R5, R6, ",2,10k,0402,603-RC0402FR-0710KL,,
"R7, ",1,330R,0603,71-CRCW0603330RFKEAC,,
"R8, ",1,300k,0402,71-CRCW0402300KFKEDC,,
"R9, ",1,2.7k,0603,652-CR0603-FX2701ELF,,
"R10, ",1,220R,0402,603-RC0402JR-07220RL,,
"R11, ",1,36R,0603,667-ERJ-3EKF36R0V,,
"R12, R13, R14, R15, ",4,N.C.,0402,,,
"SW1, ",1,CUS-12TB,CUS-12B,229-CUS-12TB,2854773,
"U4, ",1,ICM-42605,PQFN50P300X250X97-14N,410-ICM-42605,,
"U5, ",1,nRF52840,Nordic_AQFN-73-1EP_7x7mm_P0.5mm,949-NRF52840-QIAA-R,,
"Y1, ",1,32MHz,Crystal_SMD_2016-4Pin_2.0x1.6mm,520-320-8-37B-CKYT,,
"Y2, ",1,32.768kHz,Crystal_SMD_2012-2Pin_2.0x1.2mm,815-ABS06-32.7K-9-T,,
"U3, ",1,XCL222B30,VREG_XCL220B283FR-G,865-XCL222B301ER-G,3536036,
"E1, ",1,2450AT42E010BE,XDCR_2450AT42E010BE,609-2450AT42E010BE,2848009,
"U1, ",1,MCP73832-2ACI,MCP73832-2ACI,,2809956,
"U2, ",1,AP9211SA-AN,U-DFN2030-6,,3483018,
"BT1, ",1,PD3032,Battery_Pads,,,https://www.amazon.com/PD3032-Forerunner-Accessories-Battery-Li-Ion/dp/B08MWC488S
"M1, ",1,Vibration motor,Battery_Pads,,,https://www.aliexpress.com/item/4000245243914.html?spm=a2g0o.productlist.0.0.4e796715QwU2bj&algo_pvid=839e38d1-ab0d-4c9d-a097-5e12be6afb39&algo_exp_id=839e38d1-ab0d-4c9d-a097-5e12be6afb39-2
"J1, J2, ",2,P70-2010045R,Pad_D1.5mm,855-P70-2010045R,,
"J4, J5, J6, J7, J8, ",5,,Pad_D2.5mm,,,
"J3, ",1,OK-24F024-04,OK-24F024-04,,,https://www.buydisplay.com/240x240-round-ips-tft-lcd-display-1-28-inch-capactive-touch-circle-screen
